rank,ticker,sector,composite_score,value_z,growth_z,quality_z,momentum_z,eps_momentum_z,piotroski,altman_zone,altman_zscore,rsi,price,ma_50,pct_from_52w_high,above_ma50,passes,pe_ratio,roce,debt_equity,revenue_cagr_3y,eps_cagr_3y
16,SYRMA,Capital Goods,0.5958,-1.4145,2.5012,-0.7081,2.7035,-0.1032,6.0,Safe,2.8,48.4,1340.8,1250.64,7.7,True,True,89.7,15.8,0.09,56.65164274359624,69.74211465784124
17,SUZLON,Capital Goods,0.584,0.6703,1.1602,1.009,0.1835,-0.1032,5.0,Safe,2.83,41.6,53.09,55.17,20.3,False,False,24.5,35.6,0.03,61.39278504642034,20.40752050784953
18,NAM-INDIA,Financial Services,0.5159,-0.0863,0.5006,1.2741,0.9945,-0.1032,,,,53.7,1183.2,1126.19,2.9,True,True,49.0,45.2,0.01,24.198378991193547,26.955023605422944
19,POWERINDIA,Capital Goods,0.5088,-3.2361,2.8507,0.1293,2.9034,-0.1032,6.0,Grey,2.49,45.1,32440.0,34363.5,15.6,False,False,140.0,29.0,0.02,22.165025099832825,115.453190742699
20,OFSS,Information Technology,0.4492,0.2634,-0.1787,1.5353,0.7292,-0.1032,5.0,Safe,6.33,68.5,11620.0,10244.09,1.3,True,True,36.1,49.4,0.0,10.337258992552334,15.825450958973143
21,RRKABEL,Capital Goods,0.4481,-0.1481,0.4658,0.064,1.9619,-0.1032,6.0,Safe,3.37,54.1,2332.9,2187.41,6.8,True,True,54.4,28.0,0.13,20.193703284293065,29.680696925985362
22,WELCORP,Capital Goods,0.4424,-0.3278,0.6323,-0.4008,2.4116,-0.1032,5.0,Safe,3.05,60.9,1615.8,1431.37,4.0,True,True,55.9,20.9,0.08,2.391372324689578,53.60917797894504
23,ABSLAMC,Financial Services,0.4407,0.5294,-0.5053,0.4136,1.5315,0.2341,,,,47.0,1118.6,1099.13,6.7,True,True,29.5,32.7,0.02,4.605645902896316,9.54292742280558
24,SCI,Services,0.3863,1.3621,-0.3939,-0.6313,1.6976,-0.1032,5.0,Safe,3.36,37.9,280.65,304.74,18.6,False,False,9.69,14.8,0.32,-0.09213410721398141,18.337239986491017
25,ANANDRATHI,Financial Services,0.3852,-1.4428,0.3403,2.123,0.6855,0.2199,,,,65.5,2082.7,1880.63,3.0,True,True,75.1,57.5,0.08,17.095924342017767,28.160773074155365
26,PAGEIND,Textiles,0.3769,-0.2642,-0.5146,2.7338,0.0328,-0.1032,5.0,Safe,4.72,50.2,40325.0,39293.19,16.2,True,True,56.2,64.4,0.18,3.635169489249912,10.168015116328167
27,GALLANTT,Capital Goods,0.3647,0.669,0.5724,-0.5237,1.2089,-0.1032,6.0,Safe,4.09,35.0,620.15,686.46,33.1,False,False,29.4,18.2,0.17,2.8899598977869756,50.907737676907146
28,LICI,Financial Services,0.3591,1.2858,-0.2344,0.9937,-0.1461,-0.1032,,,,55.7,433.0,411.96,4.1,True,True,9.38,35.3,0.0,7.697884263323118,16.41441862286781
29,ENRIN,Capital Goods,0.3591,-1.5641,0.0,2.7184,0.7441,-0.1032,7.0,Safe,3.09,44.9,3394.3,3521.29,12.3,False,False,89.5,67.8,0.04,,
30,ABDL,Fast Moving Consumer Goods,0.3561,-0.2954,2.81,-0.4353,-0.1955,-0.1032,6.0,Grey,2.58,48.9,626.35,599.63,10.9,True,True,64.4,20.0,0.65,7.2288531033995795,263.29788579539553
31,IEX,Financial Services,0.3507,0.7788,-0.0118,1.6774,-0.5876,-0.1032,,,,57.2,125.7,123.52,34.1,True,False,23.3,51.8,0.01,14.882286009300483,17.419499749357612
32,ENGINERSIN,Construction,0.3441,0.8928,-0.114,0.1678,0.8771,-0.1032,6.0,Safe,2.86,42.8,229.78,238.17,12.4,False,False,20.1,29.3,0.01,5.4433496152828775,23.09876038777454
33,NESTLEIND,Fast Moving Consumer Goods,0.337,-1.0979,-0.5552,3.2588,0.1826,-0.1032,5.0,Safe,3.98,57.2,1446.3,1415.54,2.2,True,True,81.8,84.1,0.08,6.579467149780771,5.73165687374122
34,DATAPATTNS,Capital Goods,0.3248,-1.61,0.6512,-0.4008,3.0866,-0.1032,7.0,Safe,5.08,35.4,3990.7,4279.52,18.0,False,False,96.1,21.9,0.0,26.866758493294228,29.827420918648563
